weekday,mean_fat_per_1k,mean_carbs_per_1k,mean_protein_per_1k,count,weekday_name
0,37.269062782484646,106.23195962765483,55.64773195209924,91399,Пн
1,37.4212627032414,106.44146472828034,55.50112817934233,89974,Вт
2,37.36153110598895,106.19418143554823,55.064237499173146,86854,Ср
3,37.4733228614083,105.76948456969788,54.68885854065705,83450,Чт
4,37.5365759237158,104.95479517046097,53.300301566621755,78446,Пт
5,38.1342354442435,102.59144488166345,50.998873250297535,70777,Сб
6,38.63898002732268,103.04247399993928,51.82811293246733,71557,Вс
