cal_category,mean_fat_per_1k,mean_carbs_per_1k,mean_protein_per_1k,count
low,36.75922753042939,109.67437834278665,55.82332730674584,199006
high,38.09590749767695,101.68435046103025,49.884138637417784,72593
medium,38.13405790393664,103.01169753851147,53.83108482448651,300858
