cal_category,mean_calories,mean_fat,mean_carbs,mean_protein,mean_pct_fat,mean_pct_carbs,mean_pct_protein,count
low,744.2364803071264,27.845630478444317,79.54387566680344,41.69860892508774,33.08330477738645,43.869751337114664,22.329330922698336,199006
medium,1547.216234901515,59.03752298950959,159.14117699181395,83.07549569494867,34.320652113542984,41.20467901540459,21.532433929794603,300858
high,2294.17779951235,87.33236603650123,233.07823815068298,114.24444816193383,34.28631674790925,40.6737401844121,19.953655454967116,72593
