weekday,count_False,count_True,mean_cal_False,mean_cal_True
Пн,74396,17003,1379.2450266143342,1287.464741516203
Вт,73636,16338,1394.3713536856972,1294.8084220834864
Ср,71519,15335,1393.1019449377088,1287.5320508640366
Чт,68953,14497,1384.7105999738953,1264.977926467545
Пт,65892,12554,1378.1900837734474,1202.2847697944878
Сб,60620,10157,1389.785862751567,1156.487348626563
Вс,60937,10620,1380.0873525116103,1187.8386064030133
