high_protein,mean_calories,mean_fat,mean_carbs,mean_protein,mean_pct_protein,count
Обычный,1385.7636216181008,53.30132278295273,148.33543736597858,63.76545190406198,18.12542325856732,475953
Высокий белок (>30%),1249.5109321893392,44.47822057460612,103.70274617947834,115.8658812069966,38.52937106460986,96504
