weekday,mean_calories,median_calories,std_calories,count,weekday_name
0,1362.1710959638508,1384.0,547.9633938779447,91399,Пн
1,1376.2921399515415,1396.0,549.4656166841368,89974,Вт
2,1374.4624542335414,1397.0,558.3080424189992,86854,Ср
3,1363.9105452366687,1388.0,565.7265226051302,83450,Чт
4,1350.039313668001,1375.0,600.9758096657384,78446,Пт
5,1356.3058762027213,1386.0,624.8772831834601,70777,Сб
6,1351.5551099123775,1383.0,597.1848455973345,71557,Вс
